epoch,loss
0,0.04582756025873865
1,0.03924182503599417
2,0.03621928834765648
3,0.032671188164369744
4,0.029344402390551347
5,0.027657604978428174
6,0.02655704417053932
7,0.024695026529472534
8,0.024235235412959934
9,0.02216213610207863
10,0.02171751507975169
11,0.021715411763369705
12,0.020767629361233338
13,0.01981893249448583
14,0.018516851906992555
15,0.018129313769753783
16,0.018046063827836897
17,0.017274437003683897
18,0.018128130850463747
19,0.017263515588198948
20,0.016550130767080937
21,0.017482014265507245
22,0.015806891218456555
23,0.01571608286684991
24,0.01664175027847289
25,0.016560367155698228
26,0.01629233576762389
27,0.01606500116094953
28,0.015337414256488447
29,0.016990707413604738
30,0.014578890080942783
31,0.01444370974691355
32,0.014239299767521677
33,0.014029476106006848
34,0.015539885529970512
35,0.013946821820061631
36,0.0135625549238741
37,0.013721190090057726
38,0.013526209185410861
39,0.012937797425717136
40,0.013796296509725208
41,0.014026444029336664
42,0.014055691243648397
43,0.014078883142318694
44,0.0142254883476129
45,0.013603148787098042
46,0.013572548461935853
47,0.01332607585818743
48,0.012981802423442842
49,0.013161380730745598
