epoch,loss
1,0.08477424285792132,9.833333333333332
2,0.07088012127522786,10.0
3,0.0633889144757748,11.5
4,0.05716623146894932,77.16666666666666
5,0.015481222231194313,79.66666666666666
6,0.012831295840689422,80.83333333333333
7,0.010953157927248712,82.0
8,0.009868697812929409,85.0
9,0.009176590704153772,89.0
10,0.0060920894513238726,94.33333333333334
11,0.004641175193305814,94.5
12,0.004099101402364806,94.83333333333334
13,0.0032924868890588234,95.33333333333334
14,0.002858325088576612,95.5
15,0.002702736293039555,95.83333333333334
16,0.002490182534615918,96.0
17,0.0023379580337495585,96.16666666666667
18,0.002236020185594214,96.83333333333334
19,0.0021608543996754063,96.33333333333334
20,0.0020850125826704013,96.33333333333334
21,0.0020278966029945605,96.33333333333334
22,0.001969969721803446,96.66666666666667
23,0.001882861276240648,97.0
24,0.0018501905464223592,96.83333333333334
25,0.0016738310785156256,97.0
26,0.0016413206695603687,97.16666666666667
27,0.0016251464292204854,97.16666666666667
28,0.0016530647122921876,97.16666666666667
29,0.0015242894893766328,97.33333333333334
30,0.001458365255394436,97.33333333333334
31,0.0014439424847990617,97.5
32,0.001410117810408124,97.5
33,0.0013682198221782946,97.5
34,0.001363050674534168,97.5
35,0.0013575052274177142,97.5
36,0.0013470150371555816,97.5
37,0.001304238965102047,97.5
38,0.0012836918225033291,97.5
39,0.0012791754186447088,97.5
40,0.0012770283754513522,97.5
41,0.0012754627686564098,97.5
42,0.0012742040827799712,97.5
43,0.0012731420558897582,97.5
44,0.0012722198346286366,97.5
45,0.001271403546534069,97.5
46,0.0012706710045848608,97.5
47,0.001270006689930394,97.5
48,0.001269399221621037,97.5
49,0.0012688399523001926,97.5
50,0.0012683221288266973,97.5
