epoch,loss
0,0.0891970163246198
1,0.07189639796824134
2,0.05408864474572076
3,0.04414389934698067
4,0.03677404087584484
5,0.032186379796875685
6,0.028828690919720627
7,0.025496301821528625
8,0.024959776961994425
9,0.021390641718389742
10,0.021475372845951295
11,0.020762311004314166
12,0.019910768673179195
13,0.018491891024621985
14,0.017591037344843442
15,0.017299016157849945
16,0.016215385078652323
17,0.01455658665056976
18,0.01454052435124226
19,0.01373558009429656
20,0.013181649003374441
21,0.01384741978581858
22,0.012990679807132002
23,0.013614026029129906
24,0.012318045555339096
25,0.012290402113745004
26,0.009924849876136158
27,0.010124653471669558
28,0.010357417358540016
29,0.01089546843902032
30,0.010165320742568183
31,0.009365384324212718
32,0.009400504784779272
33,0.00923895997564315
34,0.00926229074689239
35,0.009498002537664137
36,0.008773116047981696
37,0.010393959635734994
38,0.009313497734009525
39,0.008542215427777415
40,0.008352768148556669
41,0.008251044444394826
42,0.008290667871114765
43,0.008349003493424132
44,0.008576667301289994
45,0.011746272191445277
46,0.012266786239774617
47,0.00874813321319039
48,0.008368090918490874
49,0.008271675716095451
