epoch,loss
0,0.01442573818345582
1,0.010342860972644695
2,0.009331211055029
3,0.008523100344510629
4,0.008397781034825908
5,0.00809958923147936
6,0.007915061957439644
7,0.007858227145594735
8,0.007690138480524012
9,0.007350955553926894
10,0.007309740187871082
11,0.007251222379782652
12,0.007195522848440582
13,0.007621406549820532
14,0.0072225224370095365
15,0.006954404136437869
16,0.0067539510596188335
17,0.006649873246634643
18,0.006544036441699009
19,0.006652524117222943
20,0.006832407939321755
21,0.006578042363066506
22,0.006477430170126839
23,0.006359976787551378
24,0.00644115783581686
25,0.00618596080909413
26,0.006735977249519057
27,0.006194459393080088
28,0.0060098835955361704
29,0.006178679990310427
30,0.006335240028053956
31,0.005898256147134038
32,0.006260537591308132
33,0.006226951414026099
34,0.005979353797669373
35,0.006235683738484675
36,0.006551489699554338
37,0.006545935244030233
38,0.0063534632237667405
39,0.006443260774741593
40,0.006225010536801481
41,0.006209588410122546
42,0.006389593098019539
43,0.006137055439944287
44,0.006114116082291948
45,0.006185349795544337
46,0.006060182817447865
47,0.006228772400312472
48,0.006235047708774999
49,0.005777142593016337
