epoch,loss,accuracy
1,0.0021902942320319425,0.9666
2,0.0021983359858034194,0.9668
3,0.002193571548100972,0.9653
4,0.0020788985910981748,0.9654
5,0.0021056454970758216,0.9653
6,0.002149092592101247,0.9667
7,0.0021862846663643874,0.9673
8,0.002096019316947377,0.9653
9,0.002215273814520214,0.9649
10,0.002193710725611208,0.9654
11,0.0021362318929504984,0.9629
12,0.0020354101180950703,0.966
13,0.0019930715904466993,0.9662
14,0.0019557572925469335,0.9678
15,0.0019303247508247528,0.9657
16,0.002008403425220882,0.9652
17,0.0020419669919579824,0.9661
18,0.002020282099838887,0.9668
19,0.0020468836147388486,0.9646
20,0.0020791374845553633,0.967
21,0.001951945228346348,0.9648
22,0.001956169927922512,0.9676
23,0.0018511703502955745,0.9679
24,0.0019090375666777144,0.9656
25,0.001833806324794177,0.9675
26,0.0018223266124246854,0.967
27,0.001808347760213759,0.9642
28,0.0018548498147528897,0.9678
29,0.0018479129598596548,0.9655
30,0.0017244766638186886,0.9689
31,0.0016862130895304844,0.9673
32,0.0016557966388193333,0.9683
33,0.0017075061476220575,0.9677
34,0.0017023741236578199,0.9659
35,0.001794794394272842,0.9677
36,0.0016242697160945376,0.9661
37,0.001587166398222639,0.9678
38,0.0015783988572220522,0.9649
39,0.0017507311902577485,0.9655
40,0.0016430795087387338,0.9674
41,0.0016737946139828127,0.9666
42,0.0015489962737474672,0.967
43,0.0016847150499727183,0.964
44,0.0015975269731213835,0.9675
45,0.0016270039766842787,0.966
46,0.0015114722918250568,0.9661
47,0.0015361888890031623,0.9649
48,0.0015200668466577374,0.9678
49,0.001451072004301594,0.9657
50,0.0014652519521460112,0.9664
