epoch,loss,accuracy
1,0.049108690900871034,32.06
2,0.03564388929281414,39.6
3,0.030270907480828977,48.55
4,0.025141918101658563,55.71
5,0.020327829390874557,61.3
6,0.01657893723243874,66.05
7,0.012374113426391824,68.44
8,0.010260832385115805,70.74000000000001
9,0.009387411962046767,71.59
10,0.00834648744508199,71.63000000000001
11,0.008069167802589079,72.06
12,0.007397197507830968,71.89999999999999
13,0.006699671962371098,72.59
14,0.006503890795266351,71.99
15,0.0062966787185784225,72.72999999999999
16,0.0060244800682566785,73.32
17,0.005807694374297647,73.22999999999999
18,0.005661739789714635,73.41
19,0.00554040585168844,73.47
20,0.005479127230127569,73.48
21,0.005461485580835983,73.45
22,0.005448491677022327,73.35000000000001
23,0.005384268659038964,73.44000000000001
24,0.005370583082757348,73.58
25,0.005362774824087768,73.61
26,0.0053523317226621386,73.50999999999999
27,0.005332224346632756,73.03
28,0.005292614268355184,73.63
29,0.005273569565611845,73.45
30,0.005221823658029105,73.6
31,0.0051509744167995445,75.44
32,0.004523112987663355,76.72
33,0.003253440577648664,77.21000000000001
34,0.0024558454410623363,78.23
35,0.0021415823068092667,78.03999999999999
36,0.0018001530402080071,78.51
37,0.0016211284707794544,78.25
38,0.001452046561563358,78.73
39,0.0013945106951181042,78.78
40,0.0013797090013531773,78.85
41,0.001373553793377374,78.86999999999999
42,0.001369692154046002,78.86999999999999
43,0.0013668942745660932,78.92
44,0.0013647046982436625,78.96
45,0.001362908269640639,79.03
46,0.001361386997966023,79.02
47,0.0013600694379758377,79.03
48,0.001358909085437544,79.02
49,0.001357873939947669,79.02
50,0.0013569409936092216,79.07
